name,state,item,item_num,ans_ind,ans_text,states_lived
anon10,georgia,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,b,crayfish,georgia
anon10,georgia,What do you call the thing from which you might drink water in a school?,103,d,water fountain,georgia
anon10,georgia,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,j,I have no general word for this,georgia
anon10,georgia,What is your generic term for a sweetened carbonated beverage?,105,c,coke,georgia
anon10,georgia,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,i,other,georgia
anon10,georgia,What word(s) do you use to address a group of two or more people?,50,i,y'all,georgia
anon10,georgia,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,georgia
anon10,georgia,Which of these terms do you prefer for the small road parallel to the highway?,99,b,service road,georgia
anon10,georgia,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,georgia
anon10,georgia,caramel,4,a,"with 2 syllables (""car-ml"")",georgia
anon10,georgia,lawyer,14,b,"with [] as in ""saw"" (""law-yer"")",georgia
anon10,georgia,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",georgia
anon10,georgia,"the second vowel in ""pajamas""",20,b,"[] as in ""father""",georgia
anon10,georgia,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",georgia
anon100,washington,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,washington
anon100,washington,Do you use the word cruller?,86,b,"no, but I know what it means",washington
anon100,washington,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,washington
anon100,washington,What do you call paper that has already been used for something or is otherwise imperfect?,78,a,scratch paper,washington
anon100,washington,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,washington
anon100,washington,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,e,I have no word for this,washington
anon100,washington,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,washington
anon100,washington,What do you call the thing from which you might drink water in a school?,103,d,water fountain,washington
anon100,washington,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,a,sneakers,washington
anon100,washington,What is your generic term for a sweetened carbonated beverage?,105,b,pop,washington
anon100,washington,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,a,kitty-corner,washington
anon100,washington,What word(s) do you use to address a group of two or more people?,50,d,you guys,washington
anon100,washington,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,washington
anon100,washington,Which of these terms do you prefer for the small road parallel to the highway?,99,g,I've never heard of this concept,washington
anon100,washington,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,washington
anon100,washington,caramel,4,c,I use both interchangeably,washington
anon100,washington,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",washington
anon100,washington,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",washington
anon100,washington,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",washington
anon100,washington,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",washington
anon101,illinois,"Do you pronounce ""cot"" and ""caught"" the same?",28,a,different,illinois
anon101,illinois,Do you use the word cruller?,86,a,yes,illinois
anon101,illinois,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,illinois
anon101,illinois,What do you call paper that has already been used for something or is otherwise imperfect?,78,a,scratch paper,illinois
anon101,illinois,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,illinois
anon101,illinois,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,c,I use lightning bug and firefly interchangeably,illinois
anon101,illinois,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,illinois
anon101,illinois,What do you call the thing from which you might drink water in a school?,103,c,drinking fountain,illinois
anon101,illinois,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,f,tennis shoes,illinois
anon101,illinois,What is your generic term for a sweetened carbonated beverage?,105,c,coke,illinois
anon101,illinois,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,a,kitty-corner,illinois
anon101,illinois,What word(s) do you use to address a group of two or more people?,50,i,y'all,illinois
anon101,illinois,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,illinois
anon101,illinois,Which of these terms do you prefer for the small road parallel to the highway?,99,a,frontage road,illinois
anon101,illinois,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,illinois
anon101,illinois,caramel,4,b,"with 3 syllables (""carra-mel"")",illinois
anon101,illinois,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",illinois
anon101,illinois,"the ""c"" in ""grocery""",36,a,"[s] as in ""sock""",illinois
anon101,illinois,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",illinois
anon101,illinois,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",illinois
anon102,north carolina,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,north carolina
anon102,north carolina,Do you use the word cruller?,86,c,I have no idea what this means,north carolina
anon102,north carolina,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,north carolina
anon102,north carolina,What do you call paper that has already been used for something or is otherwise imperfect?,78,b,scrap paper,north carolina
anon102,north carolina,What do you call the act of covering a house or area in front of a house with toilet paper?,106,c,toilet papering,north carolina
anon102,north carolina,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,a,lightning bug,north carolina
anon102,north carolina,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,north carolina
anon102,north carolina,What do you call the thing from which you might drink water in a school?,103,d,water fountain,north carolina
anon102,north carolina,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,g,running shoes,north carolina
anon102,north carolina,What is your generic term for a sweetened carbonated beverage?,105,c,coke,north carolina
anon102,north carolina,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,d,catty-corner,north carolina
anon102,north carolina,What word(s) do you use to address a group of two or more people?,50,i,y'all,north carolina
anon102,north carolina,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,north carolina
anon102,north carolina,Which of these terms do you prefer for the small road parallel to the highway?,99,b,service road,north carolina
anon102,north carolina,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,north carolina
anon102,north carolina,caramel,4,c,I use both interchangeably,north carolina
anon102,north carolina,lawyer,14,b,"with [] as in ""saw"" (""law-yer"")",north carolina
anon102,north carolina,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",north carolina
anon102,north carolina,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",north carolina
anon102,north carolina,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",north carolina
anon103,west virginia,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,west virginia
anon103,west virginia,Do you use the word cruller?,86,c,I have no idea what this means,west virginia
anon103,west virginia,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,west virginia
anon103,west virginia,What do you call paper that has already been used for something or is otherwise imperfect?,78,b,scrap paper,west virginia
anon103,west virginia,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,west virginia
anon103,west virginia,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,c,I use lightning bug and firefly interchangeably,west virginia
anon103,west virginia,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,e,crawdad,west virginia
anon103,west virginia,What do you call the thing from which you might drink water in a school?,103,d,water fountain,west virginia
anon103,west virginia,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,f,tennis shoes,west virginia
anon103,west virginia,What is your generic term for a sweetened carbonated beverage?,105,b,pop,west virginia
anon103,west virginia,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,d,catty-corner,west virginia
anon103,west virginia,What word(s) do you use to address a group of two or more people?,50,a,you all,west virginia
anon103,west virginia,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,west virginia
anon103,west virginia,Which of these terms do you prefer for the small road parallel to the highway?,99,d,feeder road,west virginia
anon103,west virginia,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,west virginia
anon103,west virginia,caramel,4,c,I use both interchangeably,west virginia
anon103,west virginia,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",west virginia
anon103,west virginia,"the ""c"" in ""grocery""",36,a,"[s] as in ""sock""",west virginia
anon103,west virginia,"the second vowel in ""pajamas""",20,c,other,west virginia
anon103,west virginia,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",west virginia
anon104,north carolina,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,north carolina
anon104,north carolina,Do you use the word cruller?,86,c,I have no idea what this means,north carolina
anon104,north carolina,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,north carolina
anon104,north carolina,What do you call paper that has already been used for something or is otherwise imperfect?,78,b,scrap paper,north carolina
anon104,north carolina,What do you call the act of covering a house or area in front of a house with toilet paper?,106,b,rolling,north carolina
anon104,north carolina,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,a,lightning bug,north carolina
anon104,north carolina,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,north carolina
anon104,north carolina,What do you call the thing from which you might drink water in a school?,103,d,water fountain,north carolina
anon104,north carolina,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,f,tennis shoes,north carolina
anon104,north carolina,What is your generic term for a sweetened carbonated beverage?,105,a,soda,north carolina
anon104,north carolina,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,g,"I can only use ""diagonal"" for this",north carolina
anon104,north carolina,What word(s) do you use to address a group of two or more people?,50,a,you all,north carolina
anon104,north carolina,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,north carolina
anon104,north carolina,Which of these terms do you prefer for the small road parallel to the highway?,99,a,frontage road,north carolina
anon104,north carolina,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,north carolina
anon104,north carolina,caramel,4,b,"with 3 syllables (""carra-mel"")",north carolina
anon104,north carolina,lawyer,14,c,I use both interchangeably,north carolina
anon104,north carolina,"the ""c"" in ""grocery""",36,a,"[s] as in ""sock""",north carolina
anon104,north carolina,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",north carolina
anon104,north carolina,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",north carolina
anon105,iowa,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,iowa
anon105,iowa,Do you use the word cruller?,86,b,"no, but I know what it means",iowa
anon105,iowa,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,b,unacceptable,iowa
anon105,iowa,What do you call paper that has already been used for something or is otherwise imperfect?,78,a,scratch paper,iowa
anon105,iowa,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,iowa
anon105,iowa,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,c,I use lightning bug and firefly interchangeably,iowa
anon105,iowa,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,iowa
anon105,iowa,What do you call the thing from which you might drink water in a school?,103,c,drinking fountain,iowa
anon105,iowa,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,f,tennis shoes,iowa
anon105,iowa,What is your generic term for a sweetened carbonated beverage?,105,b,pop,iowa
anon105,iowa,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,d,catty-corner,iowa
anon105,iowa,What word(s) do you use to address a group of two or more people?,50,a,you all,iowa
anon105,iowa,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,iowa
anon105,iowa,Which of these terms do you prefer for the small road parallel to the highway?,99,a,frontage road,iowa
anon105,iowa,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,a,yes,iowa
anon105,iowa,caramel,4,b,"with 3 syllables (""carra-mel"")",iowa
anon105,iowa,lawyer,14,b,"with [] as in ""saw"" (""law-yer"")",iowa
anon105,iowa,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",iowa
anon105,iowa,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",iowa
anon105,iowa,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",iowa
anon106,utah,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,utah
anon106,utah,Do you use the word cruller?,86,b,"no, but I know what it means",utah
anon106,utah,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,b,unacceptable,utah
anon106,utah,What do you call paper that has already been used for something or is otherwise imperfect?,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",utah
anon106,utah,What do you call the act of covering a house or area in front of a house with toilet paper?,106,c,toilet papering,utah
anon106,utah,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,b,firefly,utah
anon106,utah,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,h,other,utah
anon106,utah,What do you call the thing from which you might drink water in a school?,103,c,drinking fountain,utah
anon106,utah,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,a,sneakers,utah
anon106,utah,What is your generic term for a sweetened carbonated beverage?,105,a,soda,utah
anon106,utah,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,a,kitty-corner,utah
anon106,utah,What word(s) do you use to address a group of two or more people?,50,d,you guys,utah
anon106,utah,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,utah
anon106,utah,Which of these terms do you prefer for the small road parallel to the highway?,99,a,frontage road,utah
anon106,utah,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,utah
anon106,utah,caramel,4,c,I use both interchangeably,utah
anon106,utah,lawyer,14,b,"with [] as in ""saw"" (""law-yer"")",utah
anon106,utah,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",utah
anon106,utah,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",utah
anon106,utah,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",utah
anon107,washington,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,washington
anon107,washington,Do you use the word cruller?,86,c,I have no idea what this means,washington
anon107,washington,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,washington
anon107,washington,What do you call paper that has already been used for something or is otherwise imperfect?,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",washington
anon107,washington,What do you call the act of covering a house or area in front of a house with toilet paper?,106,g,I have no word for this,washington
anon107,washington,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,b,firefly,washington
anon107,washington,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,e,crawdad,washington
anon107,washington,What do you call the thing from which you might drink water in a school?,103,c,drinking fountain,washington
anon107,washington,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,f,tennis shoes,washington
anon107,washington,What is your generic term for a sweetened carbonated beverage?,105,b,pop,washington
anon107,washington,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,a,kitty-corner,washington
anon107,washington,What word(s) do you use to address a group of two or more people?,50,g,you,washington
anon107,washington,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,washington
anon107,washington,Which of these terms do you prefer for the small road parallel to the highway?,99,a,frontage road,washington
anon107,washington,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,washington
anon107,washington,caramel,4,c,I use both interchangeably,washington
anon107,washington,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",washington
anon107,washington,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",washington
anon107,washington,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",washington
anon107,washington,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",washington
anon108,pennsylvania,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,pennsylvania
anon108,pennsylvania,Do you use the word cruller?,86,b,"no, but I know what it means",pennsylvania
anon108,pennsylvania,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,pennsylvania
anon108,pennsylvania,What do you call paper that has already been used for something or is otherwise imperfect?,78,a,scratch paper,pennsylvania
anon108,pennsylvania,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,pennsylvania
anon108,pennsylvania,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,c,I use lightning bug and firefly interchangeably,pennsylvania
anon108,pennsylvania,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,b,crayfish,pennsylvania
anon108,pennsylvania,What do you call the thing from which you might drink water in a school?,103,d,water fountain,pennsylvania
anon108,pennsylvania,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,a,sneakers,pennsylvania
anon108,pennsylvania,What is your generic term for a sweetened carbonated beverage?,105,a,soda,pennsylvania
anon108,pennsylvania,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,a,kitty-corner,pennsylvania
anon108,pennsylvania,What word(s) do you use to address a group of two or more people?,50,g,you,pennsylvania
anon108,pennsylvania,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,pennsylvania
anon108,pennsylvania,Which of these terms do you prefer for the small road parallel to the highway?,99,f,we have them but I have no word for them,pennsylvania
anon108,pennsylvania,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,pennsylvania
anon108,pennsylvania,caramel,4,a,"with 2 syllables (""car-ml"")",pennsylvania
anon108,pennsylvania,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",pennsylvania
anon108,pennsylvania,"the ""c"" in ""grocery""",36,a,"[s] as in ""sock""",pennsylvania
anon108,pennsylvania,"the second vowel in ""pajamas""",20,c,other,pennsylvania
anon108,pennsylvania,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",pennsylvania
anon109,texas,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,texas
anon109,texas,Do you use the word cruller?,86,b,"no, but I know what it means",texas
anon109,texas,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,texas
anon109,texas,What do you call paper that has already been used for something or is otherwise imperfect?,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",texas
anon109,texas,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,texas
anon109,texas,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,a,lightning bug,texas
anon109,texas,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,e,crawdad,texas
anon109,texas,What do you call the thing from which you might drink water in a school?,103,d,water fountain,texas
anon109,texas,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,a,sneakers,texas
anon109,texas,What is your generic term for a sweetened carbonated beverage?,105,c,coke,texas
anon109,texas,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,d,catty-corner,texas
anon109,texas,What word(s) do you use to address a group of two or more people?,50,a,you all,texas
anon109,texas,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,c,garage sale,texas
anon109,texas,Which of these terms do you prefer for the small road parallel to the highway?,99,b,service road,texas
anon109,texas,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,texas
anon109,texas,caramel,4,b,"with 3 syllables (""carra-mel"")",texas
anon109,texas,lawyer,14,b,"with [] as in ""saw"" (""law-yer"")",texas
anon109,texas,"the ""c"" in ""grocery""",36,c,other,texas
anon109,texas,"the second vowel in ""pajamas""",20,b,"[] as in ""father""",texas
anon109,texas,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",texas
anon11,west virginia,"Do you pronounce ""cot"" and ""caught"" the same?",28,a,different,west virginia
anon11,west virginia,Do you use the word cruller?,86,b,"no, but I know what it means",west virginia
anon11,west virginia,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,a,acceptable,west virginia
anon11,west virginia,What do you call paper that has already been used for something or is otherwise imperfect?,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",west virginia
anon11,west virginia,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,west virginia
anon11,west virginia,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,a,lightning bug,west virginia
anon11,west virginia,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,west virginia
anon11,west virginia,What do you call the thing from which you might drink water in a school?,103,d,water fountain,west virginia
anon11,west virginia,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,a,sneakers,west virginia
anon11,west virginia,What is your generic term for a sweetened carbonated beverage?,105,e,soft drink,west virginia
anon11,west virginia,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,d,catty-corner,west virginia
anon11,west virginia,What word(s) do you use to address a group of two or more people?,50,a,you all,west virginia
anon11,west virginia,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,west virginia
anon11,west virginia,Which of these terms do you prefer for the small road parallel to the highway?,99,b,service road,west virginia
anon11,west virginia,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,west virginia
anon11,west virginia,caramel,4,a,"with 2 syllables (""car-ml"")",west virginia
anon11,west virginia,lawyer,14,b,"with [] as in ""saw"" (""law-yer"")",west virginia
anon11,west virginia,"the ""c"" in ""grocery""",36,a,"[s] as in ""sock""",west virginia
anon11,west virginia,"the second vowel in ""pajamas""",20,b,"[] as in ""father""",west virginia
anon11,west virginia,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",west virginia
anon110,nevada,"Do you pronounce ""cot"" and ""caught"" the same?",28,b,same,nevada
anon110,nevada,Do you use the word cruller?,86,b,"no, but I know what it means",nevada
anon110,nevada,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,b,unacceptable,nevada
anon110,nevada,What do you call paper that has already been used for something or is otherwise imperfect?,78,a,scratch paper,nevada
anon110,nevada,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,nevada
anon110,nevada,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,b,firefly,nevada
anon110,nevada,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,e,crawdad,nevada
anon110,nevada,What do you call the thing from which you might drink water in a school?,103,c,drinking fountain,nevada
anon110,nevada,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,a,sneakers,nevada
anon110,nevada,What is your generic term for a sweetened carbonated beverage?,105,c,coke,nevada
anon110,nevada,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,h,I have no term for this,nevada
anon110,nevada,What word(s) do you use to address a group of two or more people?,50,i,y'all,nevada
anon110,nevada,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,nevada
anon110,nevada,Which of these terms do you prefer for the small road parallel to the highway?,99,b,service road,nevada
anon110,nevada,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,a,yes,nevada
anon110,nevada,caramel,4,a,"with 2 syllables (""car-ml"")",nevada
anon110,nevada,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",nevada
anon110,nevada,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",nevada
anon110,nevada,"the second vowel in ""pajamas""",20,a,"[] as in ""jam""",nevada
anon110,nevada,"the vowel in the second syllable of ""cauliflower""",5,a,"[i:] as in ""see""",nevada
anon111,new york,"Do you pronounce ""cot"" and ""caught"" the same?",28,a,different,new york
anon111,new york,Do you use the word cruller?,86,b,"no, but I know what it means",new york
anon111,new york,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,b,unacceptable,new york
anon111,new york,What do you call paper that has already been used for something or is otherwise imperfect?,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",new york
anon111,new york,What do you call the act of covering a house or area in front of a house with toilet paper?,106,g,I have no word for this,new york
anon111,new york,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,b,firefly,new york
