state,district,candidate,party,votes,prop,winner,year
Arkansas,1,"Willhite, Brian Scott",LIB,8562,0.043626691668025436,0,2014
Arkansas,2,"Hill, French",R,123073,0.5185732945687439,1,2014
Arkansas,2,"Hays, Patrick Henry",D,103477,0.436004719167404,0,2014
Arkansas,2,"Standiford, Debbie",LIB,10590,0.04462141322209581,0,2014
Arkansas,2,"Neely, Charles",W,190,8.005730417562045e-4,0,2014
Arkansas,3,"Womack, Steve",R,151630,0.7941446041846701,1,2014
Arkansas,3,"Brand, Grant",LIB,39305,0.20585539581532983,0,2014
Arkansas,4,"Westerman, Bruce",R,110789,0.5374688911420408,1,2014
Arkansas,4,"Witt, James Lee",D,87742,0.42566135127661536,0,2014
Arkansas,4,"Hamilton, Ken",LIB,7598,0.03686005501355934,0,2014
Arkansas,4,"Percefull, Janis K.",W,2,9.702567784564185e-6,0,2014
California,1,"La Malfa, Doug",R,132052,0.6103007782892426,1,2014
California,1,"Hall, Heidi",D,84320,0.3896992217107574,0,2014
California,2,"Huffman, Jared",D,163124,0.7499126533164157,1,2014
California,2,"Mensing, Dale K.",R,54400,0.25008734668358434,0,2014
California,3,"Garamendi, John",D,79224,0.527246106748303,1,2014
California,3,"Logue, Dan",R,71036,0.47275389325169703,0,2014
California,4,"McClintock, Tom",R,126784,0.6004906836416684,1,2014
California,4,"Moore, Arthur ""Art""",R,84350,0.3995093163583317,0,2014
California,5,"Thompson, Mike",D,129613,0.7573153060509034,1,2014
California,5,"Hinton, James",NOP,41535,0.2426846939490967,0,2014
California,6,"Matsui, Doris",D,97008,0.7268912600407625,1,2014
California,6,"McCray, Joseph, Sr.",R,36448,0.2731087399592375,0,2014
California,7,"Bera, Ami",D,92521,0.5039626988839079,1,2014
California,7,"Ose, Doug",R,91066,0.4960373011160921,0,2014
California,8,"Cook, Paul",R,77480,0.6764685339107355,1,2014
California,8,"Conaway, Bob",D,37056,0.32353146608926453,0,2014
California,9,"McNerney, Jerry",D,63475,0.5237038381571565,1,2014
California,9,"Amador, Antonio C. ""Tony""",R,57729,0.47629616184284346,0,2014
California,10,"Denham, Jeff",R,70582,0.5614892009068851,1,2014
California,10,"Eggman, Michael",D,55123,0.43851079909311486,0,2014
California,11,"Desaulnier, Mark",D,117502,0.6727393479978473,1,2014
California,11,"Phan, Tue",R,57160,0.3272606520021527,0,2014
California,12,"Pelosi, Nancy",D,160067,0.8325375525319353,1,2014
California,12,"Dennis, John",R,32197,0.16746244746806474,0,2014
California,13,"Lee, Barbara",D,168491,0.8847876658737286,1,2014
California,13,"Sundeen, Dakin",R,21940,0.11521233412627145,0,2014
California,14,"Speier, Jackie",D,114389,0.7669598916497928,1,2014
California,14,"Chew, Robin",R,34757,0.2330401083502072,0,2014
California,15,"Swalwell, Eric",D,99756,0.6980532657831022,1,2014
California,15,"Bussell, Hugh",R,43150,0.3019467342168978,0,2014
California,16,"Costa, Jim",D,46277,0.5073119929839948,1,2014
California,16,"Tacherra, Johnny",R,44943,0.49268800701600524,0,2014
California,17,"Honda, Mike",D,69561,0.5175361585619903,1,2014
California,17,"Khanna, Ro",D,64847,0.48246384143800963,0,2014
California,18,"Eshoo, Anna G.",D,133060,0.6775432057274958,1,2014
California,18,"Fox, Richard B.",R,63326,0.3224567942725042,0,2014
California,19,"Lofgren, Zoe",D,85888,0.6721131874667418,1,2014
California,19,"Murray, Robert",D,41900,0.3278868125332582,0,2014
California,20,"Farr, Sam",D,106034,0.7517795865120105,1,2014
California,20,"Kabat, Ronald Paul",NOP,35010,0.24822041348798957,0,2014
California,21,"Valadao, David",R,45907,0.5783413331317636,1,2014
California,21,"Renteria, Amanda",D,33470,0.4216586668682364,0,2014
California,22,"Nunes, Devin G.",R,96053,0.7203506772059816,1,2014
California,22,"Augilera-Marrero, Suzanna ""Sam""",D,37289,0.2796493227940184,0,2014
California,23,"McCarthy, Kevin",R,100317,0.7483941720194266,1,2014
California,23,"Garcia, Raul",D,33726,0.2516058279805734,0,2014
California,24,"Capps, Lois",D,103228,0.5192712053683712,1,2014
California,24,"Mitchum, Chris",R,95566,0.4807287946316287,0,2014
California,25,"Knight, Steve",R,60847,0.5334087243144681,1,2014
California,25,"Strickland, Tony",R,53225,0.46659127568553194,0,2014
California,26,"Brownley, Julia",D,87176,0.5133163358437016,1,2014
California,26,"Gorell, Jeff",R,82653,0.4866836641562984,0,2014
California,27,"Chu, Judy",D,75728,0.5935726602915817,1,2014
California,27,"Orswell, Jack",R,51852,0.40642733970841827,0,2014
California,28,"Schiff, Adam B.",D,91996,0.764950442360141,1,2014
California,28,"Stokes, Steve",NOP,28268,0.23504955763985896,0,2014
California,29,"Cardenas, Tony",D,50096,0.746131275971463,1,2014
California,29,"Leader, William O'Callaghan",R,17045,0.25386872402853694,0,2014
California,30,"Sherman, Brad",D,86568,0.656399990901026,1,2014
California,30,"Reed, Mark S.",R,45315,0.3436000090989741,0,2014
California,31,"Aguilar, Pete",D,51622,0.5173374488896015,1,2014
California,31,"Chabot, Paul",R,48162,0.48266255111039846,0,2014
California,32,"Napolitano, Grace F.",D,50353,0.5965571167926451,1,2014
California,32,"Alas, Arturo Enrique",R,34053,0.40344288320735494,0,2014
California,33,"Lieu, Ted",D,108331,0.5918724150553731,1,2014
California,33,"Carr, Elan",R,74700,0.40812758494462686,0,2014
California,34,"Becerra, Xavier",D,44697,0.7253533697927654,1,2014
California,34,"Edwards, Adrienne Nicole",D,16924,0.27464663020723457,0,2014
California,35,"Torres, Norma J.",D,39502,0.634519315717613,1,2014
California,35,"Gagnier, Christina",D,22753,0.36548068428238695,0,2014
California,36,"Ruiz, Raul",D,72682,0.5418409262034158,1,2014
California,36,"Nestande, Brian",R,61457,0.45815907379658416,0,2014
California,37,"Bass, Karen",D,96787,0.8428133544645501,1,2014
California,37,"King, R. Adam",R,18051,0.15718664553544995,0,2014
California,38,"Sanchez, Linda T.",D,58192,0.5909017059301381,1,2014
California,38,"Campos, Benjamin",R,40288,0.4090982940698619,0,2014
California,39,"Royce, Ed",R,91319,0.6854494276599737,1,2014
California,39,"Anderson, Peter O.",D,41906,0.31455057234002626,0,2014
California,40,"Roybal-Allard, Lucille",D,30208,0.6117580347921181,1,2014
California,40,"Sanchez, David",D,19171,0.3882419652078819,0,2014
California,41,"Takano, Mark",D,46948,0.5664301915930698,1,2014
California,41,"Adams, Steve",R,35936,0.43356980840693016,0,2014
California,42,"Calvert, Ken",R,74540,0.6573771937560632,1,2014
California,42,"Sheridan, Tim",D,38850,0.3426228062439369,0,2014
California,43,"Waters, Maxine",D,69681,0.7095680332376123,1,2014
California,43,"Wood, John, Jr.",R,28521,0.29043196676238775,0,2014
California,44,"Hahn, Janice",D,59670,0.8665156399756034,1,2014
California,44,"Shbeita, Adam",W(PAF)/PAF,9192,0.13348436002439662,0,2014
California,45,"Walters, Mimi",R,106083,0.6512074744324808,1,2014
California,45,"Leavens, Drew E.",D,56819,0.3487925255675191,0,2014
California,46,"Sanchez, Loretta",D,49738,0.5969873372141872,1,2014
California,46,"Nick, Adam",R,33577,0.4030126627858129,0,2014
California,47,"Lowenthal, Alan",D,69091,0.5598946515397083,1,2014
California,47,"Whallon, Andy",R,54309,0.44010534846029176,0,2014
California,48,"Rohrabacher, Dana",R,112082,0.6412197145227266,1,2014
California,48,"Savary, Suzanne Joyce",D,62713,0.35878028547727336,0,2014
California,49,"Issa, Darrell",R,98161,0.6016905517892388,1,2014
California,49,"Peiser, Dave",D,64981,0.3983094482107612,0,2014
California,50,"Hunter, Duncan D.",R,111997,0.712000712019784,1,2014
California,50,"Kimber, James H.",D,45302,0.287999287980216,0,2014
California,51,"Vargas, Juan",D,56373,0.6878950579621721,1,2014
California,51,"Meade, Stephen",R,25577,0.31210494203782796,0,2014
California,52,"Peters, Scott",D,98826,0.5158687073267492,1,2014
California,52,"DeMaio, Carl",R,92746,0.4841312926732508,0,2014
California,53,"Davis, Susan A.",D,87104,0.5883656210315852,1,2014
California,53,"Wilske, Larry A.",R,60940,0.4116343789684148,0,2014
Colorado,1,"DeGette, Diana",D,183281,0.658114717013652,1,2014
Colorado,1,"Walsh, Martin",R,80682,0.2897082163350018,0,2014
Colorado,1,"Atwood, Frank",LIB,9292,0.03336517124246842,0,2014
Colorado,1,"Stroud, Danny E.",UN,5236,0.01880112318398242,0,2014
Colorado,1,"Kirschler, Daniel",W,2,7.1814832635532545e-6,0,2014
Colorado,1,"Blackburn, Logan",W,1,3.5907416317766273e-6,0,2014
Colorado,2,"Polis, Jared",D,196300,0.5674312390697943,1,2014
Colorado,2,"Leing, George",R,149645,0.4325687609302057,0,2014
Colorado,3,"Tipton, Scott R.",R,163011,0.5798193788881736,1,2014
Colorado,3,"Tapia, Abel J.",D,100364,0.35698813051102474,0,2014
Colorado,3,"Casida, Tisha T.",UN,11294,0.040172013331388874,0,2014
Colorado,3,"Mero, Travis",LIB,6472,0.023020477269412858,0,2014
Colorado,4,"Buck, Ken",R,185292,0.646727654123634,1,2014
Colorado,4,"Meyers, Vic",D,83727,0.29223369760599216,0,2014
Colorado,4,"Loban, Jess",LIB,9472,0.03306027426904055,0,2014
Colorado,4,"Doherty, Grant",UN,8016,0.027978374001333302,0,2014
Colorado,5,"Lamborn, Doug",R,157182,0.5979798748359362,1,2014
Colorado,5,"Halter, Irv",D,105673,0.4020201251640638,0,2014
Colorado,6,"Coffman, Mike",R,143467,0.5189806106207495,1,2014
Colorado,6,"Romanoff, Andrew",D,118847,0.4299196932426566,0,2014
Colorado,6,"Olsen, Norm",LIB,8623,0.031193025611344235,0,2014
Colorado,6,"Swing, Gary",GRE,5503,0.019906670525249602,0,2014
Colorado,7,"Perlmutter, Ed",D,148225,0.5507295378293323,1,2014
Colorado,7,"Ytterberg, Don",R,120918,0.44927046217066763,0,2014
Connecticut,1,"Larson, John B.",D,127430,0.5848605431405217,1,2014
Connecticut,1,"Larson, John B.",WF,8395,0.038530206856036094,1,2014
Connecticut,1,"Corey, Matthew M.",R,78609,0.36078868740275655,0,2014
Connecticut,1,"Russell, Jeffery",GRE,3447,0.015820562600685695,0,2014
Connecticut,2,"Courtney, Joe",D,131294,0.5760125649305068,1,2014
Connecticut,2,"Courtney, Joe",WF,10654,0.04674119050961673,1,2014
Connecticut,2,"Hopkins-Cavanagh, Lori",R,80837,0.3546477958725256,0,2014
Connecticut,2,"Clyde, William C.",GRE,2549,0.011182963638916186,0,2014
Connecticut,2,"Reale, Daniel",LIB,2602,0.011415485048434648,0,2014
Connecticut,3,"DeLauro, Rosa L.",D,130009,0.6192703594853743,1,2014
Connecticut,3,"DeLauro, Rosa L.",WF,10476,0.049900209108360044,1,2014
Connecticut,3,"Brown, James E.",R,69454,0.33082943140626564,0,2014
Connecticut,4,"Himes, Jim",D,101401,0.5100653923541247,1,2014
Connecticut,4,"Himes, Jim",WF,5472,0.027525150905432595,1,2014
Connecticut,4,"Debicella, Dan",R,88209,0.44370724346076457,0,2014
Connecticut,4,"Debicella, Dan",IP,3713,0.018677062374245473,0,2014
Connecticut,4,"Miller, Stephen A.",W,3,1.5090543259557344e-5,1,2014
Connecticut,4,"Pastore, Sophie E.",W,2,1.006036217303823e-5,1,2014
Connecticut,5,"Esty, Elizabeth",D,106256,0.498150500935298,1,2014
Connecticut,5,"Esty, Elizabeth",WF,7308,0.034261442749916785,1,2014
Connecticut,5,"Pistone, John J.",PC,1970,0.009235774797117688,0,2014
Connecticut,5,"Greenberg, Mark",R,92404,0.4332094083009456,0,2014
Connecticut,5,"Greenberg, Mark",IP,5363,0.02514287321672191,0,2014
Delaware,0,"Carney, John C., Jr.",D,137251,0.592577401486074,1,2014
Delaware,0,"Izzo, Rose",R,85146,0.3676155031798184,0,2014
Delaware,0,"August, Bernard",GRE,4801,0.020728184891437157,0,2014
Delaware,0,"Gesty, Scott",LIB,4419,0.019078910442670443,0,2014
District of Columbia,0,"Norton, Eleanor H.",D,143923,0.8372824955059252,1,2014
District of Columbia,0,"Rimensnyder, Nelson F.",R,11673,0.06790852448907168,0,2014
District of Columbia,0,"Krepp, Timothy J.",IND,9101,0.052945727865590805,0,2014
District of Columbia,0,"Stracuzzi, Natale Lino",DCG,6073,0.035330118154898685,0,2014
District of Columbia,0,"Panfil, Sara Jane #",LIB,NA,NA,0,2014
Florida,1,"Miller, Jeff",R,165086,0.7014697696553541,1,2014
Florida,1,"Bryan, Jim",D,54976,0.2335994697101677,0,2014
Florida,1,"Wichern, Mark",NPA,15281,0.06493076063447818,0,2014
Florida,2,"Graham, Gwen",D,126096,0.5048282488589959,1,2014
Florida,2,"Southerland, Steve",R,123262,0.49348226439266557,0,2014
Florida,2,"Lee, Luther",W,422,0.0016894867483385379,0,2014
Florida,3,"Yoho, Ted",R,148691,0.649847689557666,1,2014
Florida,3,"Wheeler, Marihelen",D,73910,0.32302051055684,0,2014
Florida,3,"Lawson, Howard Term Limits",NPA,6208,0.027131799885494013,0,2014
Florida,4,"Crenshaw, Ander",R,177887,0.7827707445006227,1,2014
Florida,4,"Moser-Bartlett, Paula",NPA,35663,0.15693082159531446,0,2014
Florida,4,"Koniz, Gary L.",NPA,13690,0.06024122893867188,0,2014
Florida,4,"Pueschel, Deborah Katz",W,13,5.720496539099594e-5,0,2014
Florida,5,"Brown, Corrine",D,112340,0.6547497624973044,1,2014
Florida,5,"Smith, Glo",R,59237,0.34525023750269557,0,2014
Florida,6,"DeSantis, Ron",R,166254,0.6254453251673143,1,2014
Florida,6,"Cox, David",D,99563,0.3745546748326856,0,2014
Florida,7,"Mica, John",R,144474,0.6359898575478509,1,2014
Florida,7,"Neuman, Wes",D,73011,0.32140215879276646,0,2014
Florida,7,"Krulick, Al",NPA,9679,0.04260798365938265,0,2014
Florida,8,"Posey, Bill",R,180728,0.658358620538918,1,2014
Florida,8,"Rothblatt, Gabriel",D,93724,0.34141916776254677,0,2014
Florida,8,"Duncan, Christopher L., Jr",W,61,2.222116985352242e-4,0,2014
Florida,9,"Grayson, Alan",D,93850,0.5397462588711626,1,2014
Florida,9,"Platt, Carol",R,74963,0.43112412151048435,0,2014
Florida,9,"Milakovich, Marko",NPA,5060,0.029100863824060547,0,2014
Florida,9,"Ray, Leon Leo",W,5,2.8755794292549947e-5,0,2014
Florida,10,"Webster, Daniel",R,143128,0.6154084291451323,1,2014
Florida,10,"McKenna, Michael",D,89426,0.38450557671966773,0,2014
Florida,10,"Falstad, David B.",W,20,8.599413519997936e-5,0,2014
Florida,11,"Nugent, Richard B. ""Rich""",R,181508,0.6665883199776712,1,2014
Florida,11,"Koller, Dave",D,90786,0.3334116800223288,0,2014
Florida,12,"Bilirakis, Gus Michael",R,NA,NA,1,2014
Florida,13,"Jolly, David W.",R,168172,0.7521916484774752,1,2014
Florida,13,"Overby, Lucas",LBF,55318,0.2474236948509679,0,2014
Florida,13,"Levinson, Michael Stephen",W,86,3.846566715568755e-4,0,2014
Florida,14,"Castor, Kathy",D,NA,NA,1,2014
Florida,15,"Ross, Dennis A.",R,128750,0.602812971130526,1,2014
Florida,15,"Cohn, Alan M.",D,84832,0.39718702886947405,0,2014
Florida,16,"Buchanan, Vern",R,169126,0.615386294750554,1,2014
Florida,16,"Lawrence, Henry",D,105483,0.38381320748538184,0,2014
Florida,16,"Newman, Joe",W,220,8.004977640641999e-4,0,2014
Florida,17,"Rooney, Tom",R,141493,0.632353992742094,1,2014
Florida,17,"Bronson, Will",D,82263,0.3676460072579059,0,2014
Florida,18,"Murphy, Patrick",D,151478,0.5978435040690836,1,2014
Florida,18,"Domino, Carl J.",R,101896,0.40215649593091635,0,2014
Florida,19,"Clawson, Curt",R,159354,0.6455211637318167,1,2014
Florida,19,"Freeman, April",D,80824,0.32740692130389165,0,2014
Florida,19,"Netherwood, Ray",LBF,6671,0.027023304612717278,0,2014
Florida,19,"Rossano, Timothy J.",W,12,4.861035157436776e-5,0,2014
Florida,20,"Hastings, Alcee L.",D,128498,0.8160364777158243,1,2014
Florida,20,"Bonner, Jay",R,28968,0.18396352228417562,0,2014
Florida,21,"Deutch, Ted",D,153395,0.9962655062674547,1,2014
Florida,21,"Trout, W. Michael",W,575,0.003734493732545301,0,2014
Florida,22,"Frankel, Lois",D,125404,0.5803161557826151,1,2014
Florida,22,"Spain, Paul",R,90685,0.41965145120687103,0,2014
Florida,22,"Schamis, Raymond",W,7,3.23930105138457e-5,0,2014
Florida,23,"Schultz, Debbie Wasserman",D,103269,0.6266779134402991,1,2014
Florida,23,"Kaufman, Joseph ""Joe""",R,61519,0.37332208655970095,0,2014
Florida,24,"Wilson, Frederica S.",D,129192,0.8617510905961926,1,2014
Florida,24,"Neree, Dufirstson Julio",R,15239,0.1016489013994317,0,2014
Florida,24,"Fernandez, Luis E.",NPA,5487,0.036600008004375725,0,2014
Florida,25,"Diaz-Balart, Mario",R,NA,NA,1,2014
Florida,26,"Curbelo, Carlos",R,83031,0.5146432622399078,1,2014
Florida,26,"Garcia, Joe",D,78306,0.48535673776009225,0,2014
Florida,27,"Ros-Lehtinen, Ileana",R,NA,NA,1,2014
Georgia,1,"Carter, E. L. ""Buddy""",R,95337,0.6091354017583316,1,2014
Georgia,1,"Reese, Brian Corwin",D,61175,0.39086459824166836,0,2014
Georgia,2,"Bishop, Sanford D.",D,96363,0.5915469613259668,1,2014
Georgia,2,"Duke, Gregory P. ""Greg""",R,66537,0.40845303867403315,0,2014
Georgia,3,"Westmoreland, Lynn Acton",R,156277,1,1,2014
Georgia,4,"Johnson, Henry C. ""Hank,"" Jr.",D,161211,0.9993243243243243,1,2014
Georgia,4,"Davis, Raymond L.",W,109,6.756756756756757e-4,0,2014
Georgia,5,"Lewis, John R.",D,170326,1,1,2014
Georgia,6,"Price, Thomas E. ""Tom""",R,139018,0.6604055029833162,1,2014
Georgia,6,"Montigel, Robert G.",D,71486,0.33959449701668376,0,2014
Georgia,7,"Woodall, William Robert ""Rob""",R,113557,0.6538702934893389,1,2014
Georgia,7,"Wight, Thomas Dee",D,60112,0.3461297065106611,0,2014
Georgia,8,"Scott, James Austin",R,129938,0.9990850165696579,1,2014
Georgia,8,"Cain, Ronald L.",W,119,9.149834303420807e-4,0,2014
Georgia,9,"Collins, Douglas Allen ""Doug""",R,146059,0.8067463144929218,1,2014
Georgia,9,"Vogel, David Donald",D,34988,0.19325368550707828,0,2014
Georgia,10,"Hice, Jody B.",R,130703,0.6652229234527687,1,2014
Georgia,10,"Dious, Ivory Kenneth ""Ken""",D,65777,0.33477707654723127,0,2014
Georgia,11,"Loudermilk, Barry D.",R,161532,1,1,2014
Georgia,12,"Allen, Richard ""Rick""",R,91336,0.5475319817281523,1,2014
Georgia,12,"Barrow, John Jenkins",D,75478,0.4524680182718477,0,2014
Georgia,13,"Scott, David Albert",D,159445,1,1,2014
Georgia,14,"Graves, John Thomas ""Tom""",R,118782,1,1,2014
Guam,0,"Bordallo, Madeleine Z.",D,20693,0.5786309490520665,1,2014
Guam,0,"Metcalfe, Margaret G.",R,14956,0.41820927241205746,0,2014
Hawaii,1,"Takai, Mark",D,93390,0.5192833789284046,0,2014
Hawaii,1,"Djou, Charles",R,86454,0.4807166210715954,0,2014
Hawaii,2,"Gabbard, Tulsi",D,142010,0.7874875923985072,1,2014
Hawaii,2,"Crowley, Kawika",R,33630,0.18648832992297582,0,2014
Hawaii,2,"Kent, Joe",LIB,4693,0.026024077678516964,0,2014
Idaho,1,"Labrador, Raul R.",R,143580,0.6500833091857433,1,2014
Idaho,1,"McCandless, Reed C.",R/W,7,3.169371196754564e-5,0,2014
Idaho,1,"Ringo, Shirley G.",D,77277,0.3498849971022892,0,2014
Idaho,2,"Simpson, Mike",R,131492,0.6136084706453314,1,2014
Idaho,2,"Stallings, Richard",D,82801,0.3863915293546686,0,2014
Illinois,1,"Rush, Bobby L.",D,162268,0.7308809685744785,1,2014
Illinois,1,"Tillman, Jimmy Lee",R,59749,0.26911903142552146,0,2014
Illinois,2,"Kelly, Robin",D,160337,0.7849421832316685,1,2014
Illinois,2,"Wallace, Eric M.",R,43799,0.2144213917147249,0,2014
Illinois,2,"Wallace, Marcus",W,130,6.364250536065718e-4,0,2014
Illinois,3,"Lipinski, Daniel William",D,116764,0.6456221835171823,1,2014
Illinois,3,"Brannigan, Sharon M.",R,64091,0.35437781648281774,0,2014
Illinois,4,"Gutierrez, Luis V.",D,79666,0.7814682570823197,1,2014
Illinois,4,"Concepcion, Hector",R,22278,0.2185317429176803,0,2014
Illinois,5,"Quigley, Mike",D,116364,0.632347746700069,1,2014
Illinois,5,"Kolber, Vince",R,56350,0.3062183796238432,0,2014
Illinois,5,"Wade, Nancy",GRE,11305,0.0614338736760878,0,2014
Illinois,6,"Roskam, Peter J.",R,160287,0.6713535383996784,1,2014
Illinois,6,"Mason, Michael",D,78465,0.3286464616003217,0,2014
Illinois,7,"Davis, Danny K.",D,155110,0.8509529400147028,1,2014
Illinois,7,"Bumpers, Robert L.",R,27168,0.1490470599852972,0,2014
Illinois,8,"Duckworth, Tammy",D,84178,0.5572635314055714,1,2014
Illinois,8,"Kaifesh, Larry",R,66878,0.44273646859442856,0,2014
Illinois,9,"Schakowsky, Janice D.",D,141000,0.6605762473647224,1,2014
Illinois,9,"Atanus, Susanne",R,72384,0.3391145467322558,0,2014
Illinois,9,"Collins, Phil",W,66,3.0920590302178496e-4,0,2014
Illinois,10,"Dold, Robert",R,95992,0.5129750758838869,1,2014
Illinois,10,"Schneider, Brad",D,91136,0.48702492411611303,0,2014
Illinois,11,"Foster, Bill",D,93436,0.5346165289634496,1,2014
Illinois,11,"Senger, Darlene",R,81335,0.46537774929622594,0,2014
Illinois,11,"Vlakancic, Constant ""Connor""",W,1,NA,0,2014
Illinois,12,"Bost, Mike",R,110038,0.5246450333272941,1,2014
Illinois,12,"Enyart, William L. ""Bill""",D,87860,0.4189035844720556,0,2014
Illinois,12,"Bradshaw, Paula",GRE,11840,0.05645138220065034,0,2014
Illinois,13,"Davis, Rodney",R,123337,0.5865593136508903,1,2014
Illinois,13,"Callis, Ann E.",D,86935,0.41344068634910974,0,2014
Illinois,14,"Hultgren, Randall M. ""Randy""",R,145369,0.6541376051838186,1,2014
Illinois,14,"Anderson, Dennis",D,76861,0.3458623948161814,0,2014
Illinois,15,"Shimkus, John M.",R,166274,0.7492317258906122,1,2014
Illinois,15,"Thorsland, Eric",D,55652,0.2507682741093878,0,2014
Illinois,16,"Kinzinger, Adam",R,153388,0.7062127643900957,1,2014
Illinois,16,"Olsen, Randall Wayne",D,63810,0.29378723560990433,0,2014
Illinois,17,"Bustos, Cheri",D,110560,0.5545718570833814,1,2014
Illinois,17,"Schilling, Bobby",R,88785,0.44534788649735907,0,2014
Illinois,17,"Fawell, Bill",W,16,8.025641925953421e-5,0,2014
Illinois,18,"Schock, Aaron",R,184363,0.7471954283861555,1,2014
Illinois,18,"Miller, Darrel",D,62377,0.2528045716138445,0,2014
Indiana,1,"Visclosky, Peter J.",D,86579,0.6084557919223011,1,2014
Indiana,1,"Leyva, Mark",R,51000,0.3584153823448799,0,2014
Indiana,1,"Dunn, Donna T.",LIB,4714,0.0331288257328189,0,2014
Indiana,2,"Walorski, Jackie",R,85583,0.5894146005509642,1,2014
Indiana,2,"Bock, Joe",D,55590,0.3828512396694215,0,2014
Indiana,2,"Petermann, Jeff",LIB,4027,0.027734159779614326,0,2014
Indiana,3,"Stutzman, Marlin A.",R,102889,0.6914908631454437,1,2014
Indiana,3,"Kuhnle, Justin",D,39771,0.2672907999704287,0,2014
Indiana,3,"Wise, Scott",LIB,6133,0.04121833688412761,0,2014
Indiana,4,"Rokita, Todd",R,94998,0.6687456882593943,1,2014
Indiana,4,"Dale, John",D,47056,0.3312543117406057,0,2014
Indiana,5,"Brooks, Susan",R,105277,0.6521122398414272,1,2014
Indiana,5,"Denney, Shawn A.",D,49756,0.308201189296333,0,2014
Indiana,5,"Krom, John",LIB,6407,0.03968657086223984,0,2014
Indiana,6,"Messer, Luke",R,102187,0.6589691173720424,1,2014
Indiana,6,"Heitzman, Susan Hall",D,45509,0.2934720224929226,0,2014
Indiana,6,"Miller, Eric",LIB,7375,0.04755886013503492,0,2014
Indiana,7,"Carson, André",D,61443,0.5473227567899805,1,2014
Indiana,7,"Ping, Catherine (Cat)",R,46887,0.41766063013869464,0,2014
